"","asexual_iRBC_log","RBC_log","transmssion_investment"
"327",0,6.65330661322645,0
"328",0,6.65531062124249,0
"329",0,6.65731462925852,0
"330",0,6.65931863727455,0
"331",0,6.66132264529058,0
"332",0,6.66332665330661,0
"333",0,6.66533066132265,0
"334",0,6.66733466933868,0
"335",0,6.66933867735471,0
"336",0,6.67134268537074,0
"337",0,6.67334669338677,0
"338",0,6.67535070140281,0
"339",0,6.67735470941884,0
"340",0,6.67935871743487,0
"341",0,6.6813627254509,0
"342",0,6.68336673346693,0
"343",0,6.68537074148297,0
"344",0,6.687374749499,0
"345",0,6.68937875751503,0
"346",0,6.69138276553106,0
"347",0,6.69338677354709,0
"348",0,6.69539078156313,0
"349",0,6.69739478957916,0
"350",0,6.69939879759519,0
"351",0,6.70140280561122,0
"352",0,6.70340681362725,0
"353",0,6.70541082164329,0
"354",0,6.70741482965932,0
"355",0,6.70941883767535,0
"356",0,6.71142284569138,0
"357",0,6.71342685370742,0
"358",0,6.71543086172345,0
"359",0,6.71743486973948,0
"360",0,6.71943887775551,0
"361",0,6.72144288577154,0
"362",0,6.72344689378757,0
"363",0,6.72545090180361,0
"364",0,6.72745490981964,0
"365",0,6.72945891783567,0
"366",0,6.7314629258517,0
"367",0,6.73346693386774,0
"368",0,6.73547094188377,0
"369",0,6.7374749498998,0
"370",0,6.73947895791583,0
"371",0,6.74148296593186,0
"372",0,6.7434869739479,0
"373",0,6.74549098196393,0
"374",0,6.74749498997996,0
"375",0,6.74949899799599,0
"376",0,6.75150300601202,0
"377",0,6.75350701402806,0
"378",0,6.75551102204409,0
"379",0,6.75751503006012,0
"380",0,6.75951903807615,0
"381",0,6.76152304609218,0
"382",0,6.76352705410822,0
"383",0,6.76553106212425,0
"384",0,6.76753507014028,0
"385",0,6.76953907815631,0
"386",0,6.77154308617234,0
"387",0,6.77354709418838,0
"388",0,6.77555110220441,0
"389",0,6.77755511022044,0
"390",0,6.77955911823647,0
"391",0,6.7815631262525,0
"392",0,6.78356713426854,0
"393",0,6.78557114228457,0
"394",0,6.7875751503006,0
"395",0,6.78957915831663,0
"396",0,6.79158316633267,0
"397",0,6.7935871743487,0
"398",0,6.79559118236473,0
"399",0,6.79759519038076,0
"400",0,6.79959919839679,0
"401",0,6.80160320641283,0
"402",0,6.80360721442886,0
"403",0,6.80561122244489,0
"404",0,6.80761523046092,0
"405",0,6.80961923847695,0
"406",0,6.81162324649299,0
"407",0,6.81362725450902,0
"408",0,6.81563126252505,0
"409",0,6.81763527054108,0
"410",0,6.81963927855711,0
"411",0,6.82164328657315,0
"412",0,6.82364729458918,0
"413",0,6.82565130260521,0
"414",0,6.82765531062124,0
"415",0,6.82965931863727,0
"416",0,6.83166332665331,0
"417",0,6.83366733466934,0
"418",0,6.83567134268537,0
"419",0,6.8376753507014,0
"420",0,6.83967935871743,0
"421",0,6.84168336673347,0
"422",0,6.8436873747495,0
"423",0,6.84569138276553,0
"424",0,6.84769539078156,0
"425",0,6.8496993987976,0
"426",0,6.85170340681363,0
"427",0,6.85370741482966,0
"428",0,6.85571142284569,0
"429",0,6.85771543086172,0
"430",0,6.85971943887776,0
"431",0,6.86172344689379,0
"432",0,6.86372745490982,0
"433",0,6.86573146292585,0
"434",0,6.86773547094188,0
"435",0,6.86973947895792,0
"436",0,6.87174348697395,0
"437",0,6.87374749498998,0
"438",0,6.87575150300601,0
"439",0,6.87775551102204,0
"440",0,6.87975951903808,0
"441",0,6.88176352705411,0
"442",0,6.88376753507014,0
"443",0,6.88577154308617,0
"444",0,6.8877755511022,0
"445",0,6.88977955911824,0
"446",0,6.89178356713427,0
"447",0,6.8937875751503,0
"448",0,6.89579158316633,0
"449",0,6.89779559118236,0
"450",0,6.8997995991984,0
"451",0,6.90180360721443,0
"452",0,6.90380761523046,0
"453",0,6.90581162324649,0
"454",0,6.90781563126253,0
"455",0,6.90981963927856,0
"456",0,6.91182364729459,0
"457",0,6.91382765531062,0
"458",0,6.91583166332665,0
"459",0,6.91783567134269,0
"460",0,6.91983967935872,0
"461",0,6.92184368737475,0
"462",0,6.92384769539078,0
"463",0,6.92585170340681,0
"464",0,6.92785571142285,0
"465",0,6.92985971943888,0
"466",0,6.93186372745491,0
"467",0,6.93386773547094,0
"468",0,6.93587174348697,0
"469",0,6.937875751503,0
"470",0,6.93987975951904,0
"471",0,6.94188376753507,0
"472",0,6.9438877755511,0
"473",0,6.94589178356713,0
"474",0,6.94789579158317,0
"475",0,6.9498997995992,0
"476",0,6.95190380761523,0
"477",0,6.95390781563126,0
"478",0,6.9559118236473,0
"479",0,6.95791583166333,0
"480",0,6.95991983967936,0
"481",0,6.96192384769539,0
"482",0,6.96392785571142,0
"483",0,6.96593186372746,0
"484",0,6.96793587174349,0
"485",0,6.96993987975952,0
"486",0,6.97194388777555,0
