"","long_label","cue_value","transmission_investment"
"93","Asexual iRBC none",110422.084416883,0.377700429860278
"94","Asexual iRBC none",111622.324464893,0.370260765677069
"95","Asexual iRBC none",112822.564512903,0.362651299163672
"96","Asexual iRBC log",1,3.42422003534321e-103
"97","Asexual iRBC log",1.00312695718375,2.44422672096376e-103
"98","Asexual iRBC log",1.00626369222873,1.74609350834614e-103
"99","Asexual iRBC log",1.00941023570989,1.2483646036703e-103
"100","Asexual iRBC log",1.0125666182978,8.93233659420511e-104
"101","Asexual iRBC log",1.01573287075891,6.39646668577408e-104
"102","Asexual iRBC log",1.0189090239559,4.5842508160582e-104
"103","Asexual iRBC log",1.02209510884795,3.28814907909203e-104
"104","Asexual iRBC log",1.02529115649104,2.36043071203826e-104
"105","Asexual iRBC log",1.02849719803827,1.69585754007796e-104
"106","Asexual iRBC log",1.03171326474014,1.21940381341015e-104
"107","Asexual iRBC log",1.03493938794489,8.77541204559332e-105
"108","Asexual iRBC log",1.03817559909877,6.32049341336321e-105
"109","Asexual iRBC log",1.04142192974637,4.55616716437099e-105
"110","Asexual iRBC log",1.04467841153091,3.28711742051907e-105
"111","Asexual iRBC log",1.04794507619456,2.37355545342971e-105
"112","Asexual iRBC log",1.05122195557874,1.71535429325714e-105
"113","Asexual iRBC log",1.05450908162445,1.24073849493893e-105
"114","Asexual iRBC log",1.05780648637257,8.98215058160807e-106
"115","Asexual iRBC log",1.06111420196415,6.50812271266761e-106
"116","Asexual iRBC log",1.06443226064076,4.71963193820297e-106
"117","Asexual iRBC log",1.06776069474479,3.42562004426656e-106
"118","Asexual iRBC log",1.07109953671975,2.48857407185704e-106
"119","Asexual iRBC log",1.07444881911061,1.8094389228482e-106
"120","Asexual iRBC log",1.0778085745641,1.31680330828913e-106
"121","Asexual iRBC log",1.08117883582904,9.59142550690993e-107
"122","Asexual iRBC log",1.08455963575666,6.99249741022167e-107
"123","Asexual iRBC log",1.08795100730089,5.10234722992529e-107
"124","Asexual iRBC log",1.09135298351874,3.72647210202467e-107
"125","Asexual iRBC log",1.09476559757056,2.724065389908e-107
"126","Asexual iRBC log",1.09818888272041,1.99310688612154e-107
"127","Asexual iRBC log",1.10162287233635,1.45961618139972e-107
"128","Asexual iRBC log",1.10506759989079,1.06990045798227e-107
"129","Asexual iRBC log",1.1085230989608,7.84957787127235e-108
"130","Asexual iRBC log",1.11198940322845,5.76433285113221e-108
"131","Asexual iRBC log",1.11546654648113,4.23694871453495e-108
"132","Asexual iRBC log",1.11895456261188,3.11716905288966e-108
"133","Asexual iRBC log",1.12245348561973,2.29547239529298e-108
"134","Asexual iRBC log",1.12596334961002,1.69195938888209e-108
"135","Asexual iRBC log",1.12948418879472,1.24829003345646e-108
"136","Asexual iRBC log",1.13301603749281,9.21828943500269e-109
"137","Asexual iRBC log",1.13655893013055,6.8139038348636e-109
"138","Asexual iRBC log",1.14011290124188,5.04143337527526e-109
"139","Asexual iRBC log",1.1436779854687,3.73358445141019e-109
"140","Asexual iRBC log",1.14725421756126,2.76766408622236e-109
"141","Asexual iRBC log",1.15084163237846,2.05360900642183e-109
"142","Asexual iRBC log",1.15444026488818,1.5252486541973e-109
"143","Asexual iRBC log",1.15805015016769,1.13392300866144e-109
"144","Asexual iRBC log",1.1616713234039,8.43816523022235e-110
"145","Asexual iRBC log",1.16530381989377,6.28543775221946e-110
"146","Asexual iRBC log",1.16894767504464,4.68648878617688e-110
"147","Asexual iRBC log",1.17260292437455,3.49772512989084e-110
"148","Asexual iRBC log",1.17626960351261,2.61307156188414e-110
"149","Asexual iRBC log",1.17994774819935,1.95409621380669e-110
"150","Asexual iRBC log",1.18363739428703,1.4627532528781e-110
"151","Asexual iRBC log",1.18733857774005,1.09604443489183e-110
"152","Asexual iRBC log",1.19105133463526,8.22088689276793e-111
"153","Asexual iRBC log",1.19477570116231,6.17225790965776e-111
"154","Asexual iRBC log",1.19851171362404,4.63880148884348e-111
"155","Asexual iRBC log",1.20225940843676,3.48983815418358e-111
"156","Asexual iRBC log",1.20601882213071,2.62811278348939e-111
"157","Asexual iRBC log",1.20978999135031,1.98117735954722e-111
"158","Asexual iRBC log",1.21357295285459,1.4950123643822e-111
"159","Asexual iRBC log",1.21736774351753,1.12930097183732e-111
"160","Asexual iRBC log",1.22117440032839,8.53924591651107e-112
"161","Asexual iRBC log",1.2249929603921,6.4636174777431e-112
"162","Asexual iRBC log",1.22882346092965,4.89755676794438e-112
"163","Asexual iRBC log",1.23266593927836,3.71477410255688e-112
"164","Asexual iRBC log",1.23652043289236,2.82056312736974e-112
"165","Asexual iRBC log",1.24038697934284,2.14383374498592e-112
"166","Asexual iRBC log",1.24426561631853,1.63117147112597e-112
"167","Asexual iRBC log",1.24815638162597,1.24240369201762e-112
"168","Asexual iRBC log",1.25205931318994,9.4728750796158e-113
"169","Asexual iRBC log",1.25597444905381,7.23033134362394e-113
"170","Asexual iRBC log",1.25990182737988,5.52450344083606e-113
"171","Asexual iRBC log",1.26384148644983,4.22559912270356e-113
"172","Asexual iRBC log",1.26779346466501,3.23552431397612e-113
"173","Asexual iRBC log",1.27175780054686,2.48006860956355e-113
"174","Asexual iRBC log",1.27573453273727,1.90303464540716e-113
"175","Asexual iRBC log",1.27972369999897,1.46182362675955e-113
"176","Asexual iRBC log",1.2837253412159,1.12411267760655e-113
"177","Asexual iRBC log",1.28773949539358,8.65351595111142e-114
"178","Asexual iRBC log",1.2917662016595,6.66875136098153e-114
"179","Asexual iRBC log",1.2958054992635,5.14478119780998e-114
"180","Asexual iRBC log",1.29985742757817,3.97338846436867e-114
"181","Asexual iRBC log",1.30392202609919,3.07204905248147e-114
"182","Asexual iRBC log",1.30799933444575,2.377768280905e-114
"183","Asexual iRBC log",1.31208939236094,1.84241063340983e-114
"184","Asexual iRBC log",1.31619223971211,1.42915752378474e-114
"185","Asexual iRBC log",1.32030791649127,1.1098180280319e-114
"186","Asexual iRBC log",1.32443646281551,8.62785207627583e-115
