"X","mut_id","res_id","fitness","mut_var1","mut_var2","mut_var3","mut_var4","res_var1","res_var2","res_var3","res_var4","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt"
1,"I-i+Ig-i_log","I-i_none",0.173189983354416,303.4573,-419.5405,-257.9821,-320.6268,1.958208,-69.747557,1519.003656,-253.527388,302.885183904072,-421.223534099344,-255.939132973343,-320.694996495058
1,"I-i+Ig-i_log","I-i+Ig-i_none",0.211056306865864,303.4573,-419.5405,-257.9821,-320.6268,1.738925,-32.23447,294.1821,16.1966,403.308596869412,-562.932169702411,-340.171399899093,-427.218579504478
1,"I-i+Ig-i_log","I1+I2_log",0.078202952454375,303.4573,-419.5405,-257.9821,-320.6268,356.4903,-465.0749,-322.0964,-367.33,399.912410144391,-554.848619549626,-339.575725805992,-422.510966806102
1,"I-i+Ig-i_log","I1+I2_none",0.808063428051082,303.4573,-419.5405,-257.9821,-320.6268,0.9999997,-9.1495804,-71.9937848,4998.243879,303.720618553056,-418.871565032044,-259.577921070602,-319.889057731485
1,"I-i+Ig-i_log","Ig-i_log",-0.0715692903902205,303.4573,-419.5405,-257.9821,-320.6268,2.188023,-5.185792,3.701277,-8.106463,436.725893045319,-606.429094097034,-370.612647705015,-461.451044477954
1,"I-i+Ig-i_log","Ig-i_none",0.657242205170882,303.4573,-419.5405,-257.9821,-320.6268,1.178482,-108.3889,2.022846,0.4681743,302.481630977159,-421.749969853069,-255.428269453314,-320.360620631801
1,"I-i+Ig-i_log","Ig1+Ig2_none",0.835222441534889,303.4573,-419.5405,-257.9821,-320.6268,1,-31.28019,341.47294,-4999.99774,308.067414489556,-406.71758701035,-278.90616655438,-316.043471244825
1,"I-i+Ig-i_log","R_log",0.0683895318998675,303.4573,-419.5405,-257.9821,-320.6268,-1708.033,2029.536,1652.683,1716.579,356.822219128268,-496.286304802661,-302.065398354075,-377.500518106522
1,"I-i+Ig-i_log","R_none",-0.00117786346425586,303.4573,-419.5405,-257.9821,-320.6268,-85.83515,132.203,63.44411,95.46252,302.590107853878,-421.6582991823,-254.808691848768,-321.052661491018
1,"I-i+Ig-i_log","sum_log",0.00193169106485058,303.4573,-419.5405,-257.9821,-320.6268,366.9224,-475.8806,-333.6755,-376.6502,402.471538017156,-557.097937586273,-342.788025102437,-424.702391637439
1,"I-i+Ig-i_log","sum_none",0.211635687544773,303.4573,-419.5405,-257.9821,-320.6268,1.832057,-16.921,61.96135,1.122217,402.122715968405,-561.278227566364,-339.130703492646,-426.102140532436
1,"I-i+Ig-i_none","G-i_log",-0.293284920796586,1.738925,-32.23447,294.1821,16.1966,1.76218,-4.329083,2.546559,-6.721427,1.76695377160683,-30.9412800890064,270.088160492973,10.265562249315
1,"I-i+Ig-i_none","G-i_none",0.378850482982405,1.738925,-32.23447,294.1821,16.1966,1.353023,-165.8444,60.96032,-7.602019,1.59286031269162,-57.52550670348,986.310587964302,-24.0542379362037
1,"I-i+Ig-i_none","G1+G2_none",0.394939941567663,1.738925,-32.23447,294.1821,16.1966,1,-20.67279,324.78499,-4999.96816,1.7920603659643,-24.6506922113596,164.044100700331,4.53747515667318
1,"I-i+Ig-i_none","I-i_log",-0.13748178746978,1.738925,-32.23447,294.1821,16.1966,296.297,-407.8744,-253.256,-312.6993,1.73132161095965,-30.5213680342553,274.394551996975,10.1687546006173
1,"I-i+Ig-i_none","I-i_none",-0.0260777518040225,1.738925,-32.23447,294.1821,16.1966,1.958208,-69.747557,1519.003656,-253.527388,1.75953269308759,-31.8989252967752,294.193866471297,16.1959577656958
